allocation_id,transaction_id,fund_id,fund_name_raw,amount
296720046:1,296720046,fund_003,General Fund,100.0
296749006:1,296749006,fund_003,General Fund,900.0
296777065:1,296777065,fund_003,General Fund,100.3
296812490:1,296812490,fund_003,General Fund,50.0
296812785:1,296812785,fund_003,General Fund,50.0
296812884:1,296812884,fund_003,General Fund,25.86
296815164:1,296815164,fund_003,General Fund,175.0
296815210:1,296815210,fund_003,General Fund,102.5
296815228:1,296815228,fund_003,General Fund,102.5
296815339:1,296815339,fund_003,General Fund,60.99
296817754:1,296817754,fund_003,General Fund,700.3
296823745:1,296823745,fund_003,General Fund,25.0
296825474:1,296825474,fund_003,General Fund,50.0
296826071:1,296826071,fund_003,General Fund,25.0
296827372:1,296827372,fund_003,General Fund,82.06
296831229:1,296831229,fund_003,General Fund,25.86
296834585:1,296834585,fund_003,General Fund,25.0
296838501:1,296838501,fund_005,Missions (General),30.81
296838501:2,296838501,fund_003,General Fund,30.81
296841806:1,296841806,fund_003,General Fund,100.3
296850667:1,296850667,fund_003,General Fund,40.0
296874591:1,296874591,fund_003,General Fund,290.0
296922173:1,296922173,fund_003,General Fund,50.0
296932185:1,296932185,fund_003,General Fund,209.81
296984131:1,296984131,fund_003,General Fund,400.0
297067789:1,297067789,fund_003,General Fund,30.97
297075974:1,297075974,fund_003,General Fund,33.3
297075996:1,297075996,fund_003,General Fund,325.3
297076065:1,297076065,fund_003,General Fund,80.0
297116200:1,297116200,fund_003,General Fund,300.0
297116542:1,297116542,fund_003,General Fund,400.0
297116820:1,297116820,fund_003,General Fund,150.0
297117785:1,297117785,fund_003,General Fund,150.0
297118207:1,297118207,fund_003,General Fund,100.0
297118519:1,297118519,fund_003,General Fund,100.0
297118747:1,297118747,fund_003,General Fund,100.0
297119114:1,297119114,fund_003,General Fund,50.0
297119389:1,297119389,fund_003,General Fund,50.0
297120652:1,297120652,fund_003,General Fund,30.0
297121314:1,297121314,fund_003,General Fund,230.0
297121756:1,297121756,fund_006,Missions | Colombia,100.0
297122257:1,297122257,fund_003,General Fund,100.0
297122950:1,297122950,fund_006,Missions | Colombia,50.0
297123590:1,297123590,fund_006,Missions | Colombia,200.0
297124068:1,297124068,fund_003,General Fund,50.0
297124677:1,297124677,fund_006,Missions | Colombia,100.0
297125240:1,297125240,fund_003,General Fund,400.0
297126024:1,297126024,fund_003,General Fund,1105.0
297126967:1,297126967,fund_003,General Fund,100.0
297127302:1,297127302,fund_003,General Fund,100.0
297127736:1,297127736,fund_003,General Fund,100.0
297128262:1,297128262,fund_003,General Fund,100.0
297128605:1,297128605,fund_003,General Fund,25.0
297128775:1,297128775,fund_003,General Fund,100.0
297129056:1,297129056,fund_003,General Fund,800.0
297129278:1,297129278,fund_003,General Fund,500.0
297129613:1,297129613,fund_006,Missions | Colombia,100.0
297129762:1,297129762,fund_003,General Fund,150.0
297130004:1,297130004,fund_003,General Fund,825.0
297130336:1,297130336,fund_003,General Fund,200.0
297130672:1,297130672,fund_003,General Fund,25.0
297130901:1,297130901,fund_003,General Fund,175.0
297131105:1,297131105,fund_003,General Fund,100.0
297131365:1,297131365,fund_003,General Fund,100.0
297131570:1,297131570,fund_006,Missions | Colombia,200.0
297131831:1,297131831,fund_003,General Fund,350.0
297132150:1,297132150,fund_003,General Fund,444.0
297132386:1,297132386,fund_003,General Fund,100.0
297132612:1,297132612,fund_003,General Fund,600.0
297135955:1,297135955,fund_003,General Fund,25.0
297136224:1,297136224,fund_003,General Fund,60.0
297136467:1,297136467,fund_003,General Fund,552.0
297138017:1,297138017,fund_006,Missions | Colombia,25.0
297259526:1,297259526,fund_006,Missions | Colombia,300.3
297347541:1,297347541,fund_006,Missions | Colombia,25.86
297485087:1,297485087,fund_003,General Fund,300.0
297506159:1,297506159,fund_003,General Fund,270.0
297600441:1,297600441,fund_003,General Fund,10.53
297612276:1,297612276,fund_003,General Fund,400.3
297732800:1,297732800,fund_003,General Fund,150.3
297732900:1,297732900,fund_003,General Fund,107.61
297757780:1,297757780,fund_003,General Fund,306.9
297757970:1,297757970,fund_003,General Fund,100.0
297797960:1,297797960,fund_006,Missions | Colombia,400.0
297860929:1,297860929,fund_006,Missions | Colombia,200.0
297968450:1,297968450,fund_003,General Fund,25.0
297974581:1,297974581,fund_003,General Fund,15.64
297994028:1,297994028,fund_003,General Fund,20.3
298043565:1,298043565,fund_003,General Fund,200.0
298063213:1,298063213,fund_003,General Fund,50.0
298063447:1,298063447,fund_003,General Fund,50.0
298063556:1,298063556,fund_003,General Fund,25.86
298064602:1,298064602,fund_003,General Fund,175.0
298064706:1,298064706,fund_003,General Fund,102.5
298064808:1,298064808,fund_003,General Fund,60.99
298066904:1,298066904,fund_003,General Fund,700.3
298068781:1,298068781,fund_003,General Fund,100.3
298071954:1,298071954,fund_003,General Fund,25.0
298073310:1,298073310,fund_003,General Fund,50.0
298073787:1,298073787,fund_003,General Fund,25.0
298075499:1,298075499,fund_003,General Fund,82.06
298078677:1,298078677,fund_003,General Fund,25.86
298082226:1,298082226,fund_003,General Fund,25.0
298085320:1,298085320,fund_005,Missions (General),30.81
298085320:2,298085320,fund_003,General Fund,30.81
298088531:1,298088531,fund_003,General Fund,100.3
298089638:1,298089638,fund_006,Missions | Colombia,102.5
298096636:1,298096636,fund_003,General Fund,40.0
298112630:1,298112630,fund_003,General Fund,40.0
298115659:1,298115659,fund_003,General Fund,335.3
298132180:1,298132180,fund_006,Missions | Colombia,41.19
298139713:1,298139713,fund_006,Missions | Colombia,102.5
298208841:1,298208841,fund_003,General Fund,102.5
298225336:1,298225336,fund_006,Missions | Colombia,15.64
298292043:1,298292043,fund_003,General Fund,1000.0
298299449:1,298299449,fund_003,General Fund,33.3
298299487:1,298299487,fund_003,General Fund,80.0
298304755:1,298304755,fund_003,General Fund,530.0
298394275:1,298394275,fund_003,General Fund,200.0
298394675:1,298394675,fund_003,General Fund,150.0
298394980:1,298394980,fund_003,General Fund,200.0
298395218:1,298395218,fund_003,General Fund,75.0
298395711:1,298395711,fund_003,General Fund,500.0
298395999:1,298395999,fund_003,General Fund,670.0
298396248:1,298396248,fund_003,General Fund,500.0
298396471:1,298396471,fund_002,Building Fund,200.0
298396661:1,298396661,fund_003,General Fund,25.0
298396841:1,298396841,fund_003,General Fund,50.0
298397117:1,298397117,fund_003,General Fund,250.0
